keep,date,ND,fly,genotype,trial,intensity,color
y,2018-12-21,0,2,BRP,0,10,w
y,2018-12-21,0,2,BRP,1,100,w
y,2018-12-21,0,2,BRP,2,10,b
y,2018-12-21,0,2,BRP,3,100,b
n,2018-12-21,0,2,BRP,4,100,o
y,2018-12-21,0,2,BRP,5,100,o
y,2018-12-21,0,2,BRP,6,10,o
y,2018-12-21,0,2,BRP,7,100,b
y,2018-12-21,0,2,BRP,8,100,o
n,2018-12-21,0,3,DKO,9,10,w
y,2018-12-21,0,3,DKO,10,10,w
y,2018-12-21,0,3,DKO,11,100,w
y,2018-12-21,0,3,DKO,12,10,b
y,2018-12-21,0,3,DKO,13,100,b
y,2018-12-21,0,3,DKO,14,10,o
y,2018-12-21,0,3,DKO,15,100,b
y,2018-12-21,0,3,DKO,16,10,o
y,2018-12-21,0,4,BRP,17,10,w
y,2018-12-21,0,4,BRP,18,100,b
y,2018-12-21,0,4,BRP,19,10,b
y,2018-12-21,0,4,BRP,20,100,b
y,2018-12-21,0,4,BRP,21,10,o
y,2018-12-21,0,4,BRP,22,100,b
n,2018-12-21,0,4,BRP,23,10,b
y,2018-12-21,0,5,DKO,24,10,w
y,2018-12-21,0,5,DKO,25,100,w
y,2018-12-21,0,5,DKO,26,10,b
y,2018-12-21,0,5,DKO,27,100,b
y,2018-12-21,0,5,DKO,28,10,o
y,2018-12-21,0,5,DKO,29,100,o
y,2018-12-21,0,5,DKO,30,100,o
y,,0,6,DKO,31,10,o
y,,1,6,DKO,32,100,o
y,,4,6,DKO,33,100,w
y,,3,6,DKO,34,100,w
y,,3,6,DKO,35,10,w
y,,1,6,DKO,36,100,w
y,,0,6,DKO,37,100,w
y,,3,6,DKO,38,100,o
y,,1,6,DKO,39,100,o
y,,3,6,DKO,40,100,o
y,,0,6,DKO,41,10,o
y,,3,6,DKO,42,100,b
y,,1,6,DKO,43,100,b
y,,0,6,DKO,44,10,b
y,,0,6,DKO,45,100,b
y,,4,7,BRP,46,100,w
y,,3,7,BRP,47,100,w
y,,1,7,BRP,48,100,w
y,,0,7,BRP,49,10,w
y,,0,7,BRP,50,100,w
y,,3,7,BRP,51,100,o
y,,3,7,BRP,52,100,o
y,,1,7,BRP,53,100,o
y,,0,7,BRP,54,100,o
y,,3,7,BRP,55,100,b
y,,1,7,BRP,56,100,b
y,,0,7,BRP,57,10,b
y,,0,7,BRP,58,100,b
y,,4,8,DKO,59,100,w
y,,3,8,DKO,60,100,w
y,,0,8,DKO,61,10,w
y,,1,8,DKO,62,100,w
y,,0,8,DKO,63,100,w
y,,3,8,DKO,64,100,o
y,,1,8,DKO,65,100,o
y,,0,8,DKO,66,10,o
y,,0,8,DKO,67,100,o
y,,3,8,DKO,68,100,b
y,,1,8,DKO,69,100,b
y,,0,8,DKO,70,10,b
y,,0,8,DKO,71,10,b
y,,4,9,BRP,72,100,w
y,,3,9,BRP,73,100,w
y,,1,9,BRP,74,100,w
y,,0,9,BRP,75,10,w
y,,0,9,BRP,76,100,w
y,,3,9,BRP,77,100,o
y,,1,9,BRP,78,100,o
y,,0,9,BRP,79,100,o
y,,3,9,BRP,80,100,b
y,,1,9,BRP,81,100,b
y,,0,9,BRP,82,100,b
y,,4,10,DKO,83,100,w
y,,3,10,DKO,84,100,w
y,,1,10,DKO,85,100,w
y,,0,10,DKO,86,10,w
y,,0,10,DKO,87,100,w
y,,3,10,DKO,88,100,o
y,,1,10,DKO,89,100,o
y,,0,10,DKO,90,100,o
y,,3,10,DKO,91,100,b
y,,1,10,DKO,92,100,b
y,,1,10,DKO,93,100,b
n,,4,11,BRP,94,100,w
y,,4,11,BRP,95,100,w
y,,3,11,BRP,96,100,w
y,,1,11,BRP,97,100,w
y,,0,11,BRP,98,10,w
y,,0,11,BRP,99,100,w
y,,,11,BRP,,,
y,,,11,BRP,,,
y,,,11,BRP,,,
y,,,11,BRP,,,
y,,,11,BRP,,,
y,,,11,BRP,,,
